%Pluie moyenne journalièere beterou
%2002-2008
%issu des fichiers resultats JV  Ntopamma
%date		P(mm)
05  06  03	1.8818
06  06  03	20.2279
07  06  03	0.1541
08  06  03	20.6601
09  06  03	0.3682
10  06  03	5.814
11  06  03	10.493
12  06  03	3.3053
13  06  03	28.0535
14  06  03	0.2096
15  06  03	2.6384
16  06  03	0.0779
17  06  03	0.06
18  06  03	10.5685
19  06  03	0.0344
20  06  03	11.5508
21  06  03	0.0762
22  06  03	1.695
23  06  03	3.6918
24  06  03	4.5842
25  06  03	28.3018
26  06  03	26.0029
27  06  03	1.5383
28  06  03	0.7164
29  06  03	21.1335
30  06  03	0.5433
01  07  03	0.0478
02  07  03	12.508
03  07  03	0.0553
04  07  03	11.0284
05  07  03	0.0524
06  07  03	0.1053
07  07  03	1.6514
08  07  03	7.9966
09  07  03	1.5836
10  07  03	14.771
11  07  03	0.4501
12  07  03	0.7097
13  07  03	0.2101
14  07  03	3.4414
15  07  03	1.1537
16  07  03	6.0693
17  07  03	25.5176
18  07  03	0.0766
19  07  03	5.6801
20  07  03	4.5163
21  07  03	15.316
22  07  03	7.1766
23  07  03	10.9268
24  07  03	1.2757
25  07  03	1.8082
26  07  03	6.5947
27  07  03	1.8258
28  07  03	2.0929
29  07  03	0.4973
30  07  03	10.5987
31  07  03	44.4003
01  08  03	12.3625
02  08  03	8.2458
03  08  03	4.1635
04  08  03	17.9677
05  08  03	2.0662
06  08  03	26.0994
07  08  03	12.0451
08  08  03	2.1719
09  08  03	0.0695
10  08  03	21.7352
11  08  03	7.3116
12  08  03	12.1049
13  08  03	24.107
14  08  03	5.18
15  08  03	2.8799
16  08  03	10.8084
17  08  03	10.7489
18  08  03	11.8194
19  08  03	24.1483
20  08  03	19.1454
21  08  03	4.2681
22  08  03	1.3912
23  08  03	10.1738
24  08  03	10.6883
25  08  03	0.1126
26  08  03	1.7178
27  08  03	6.1325
28  08  03	13.9611
29  08  03	6.8621
30  08  03	16.8582
31  08  03	25.8867
01  09  03	3.7137
02  09  03	5.3932
03  09  03	8.5615
04  09  03	0.4859
05  09  03	7.3402
06  09  03	8.5896
07  09  03	16.6865
08  09  03	7.9368
09  09  03	9.3292
10  09  03	0.6866
11  09  03	0.1781
12  09  03	1.5278
13  09  03	16.199
14  09  03	2.8615
15  09  03	5.7249
16  09  03	8.3915
17  09  03	1.9168
18  09  03	8.3477
19  09  03	25.5443
20  09  03	0.9343
21  09  03	7.4591
22  09  03	8.927
23  09  03	22.4551
24  09  03	0.0099
25  09  03	9.4054
26  09  03	0.0963
27  09  03	2.565
28  09  03	26.8835
29  09  03	0.2185
30  09  03	4.1481
01  10  03	0.0638
02  10  03	17.8923
03  10  03	0.8436
04  10  03	2.5814
05  10  03	0.6281
06  10  03	3.4391
07  10  03	5.0482
08  10  03	7.2211
09  10  03	0.0596
10  10  03	0.068
11  10  03	0.1386
12  10  03	0.1702
13  10  03	3.8238
14  10  03	11.9479
15  10  03	11.7356
16  10  03	6.1574
17  10  03	5.2819
18  10  03	0.4924
19  10  03	0.0373
20  10  03	0.6149
21  10  03	0.0469
22  10  03	0.0765
23  10  03	0.0735
24  10  03	0.1379
25  10  03	0.0191
26  10  03	2.2163
27  10  03	0.6693
28  10  03	3.306
29  10  03	0.0374
30  10  03	0
31  10  03	0.0721
01  11  03	0.0628
02  11  03	0.0523
03  11  03	0.0345
04  11  03	2.1355
05  11  03	0.083
06  11  03	0.0106
07  11  03	0.0089
08  11  03	0
09  11  03	1.7708
10  11  03	0.0471
11  11  03	0.0674
12  11  03	0.729
13  11  03	0.0827
14  11  03	2.1676
15  11  03	0
16  11  03	0.0733
17  11  03	0
18  11  03	0
19  11  03	0
20  11  03	0
21  11  03	0
