%Bassin de Beterou				
%code lacune 	-9999			
%surface bassin	10080	km2		
%coordonnées (lat, lon)	9.199	2.267		
%date	annee	P	ETP	Q m3 /s

26   10   02 06   00	2002	0.68	2.46	36.53
27   10   02 06   00	2002	0.01	3.52	34.24
28   10   02 06   00	2002	0.07	3.8	31.41
29   10   02 06   00	2002	0.04	3.61	28.82
30   10   02 06   00	2002	0.14	3.66	26.48
31   10   02 06   00	2002	0.04	3.54	24.43
01   11   02 06   00	2002	0.02	3.43	22.53
02   11   02 06   00	2002	0.03	3.43	20.46
03   11   02 06   00	2002	0	3.59	18.57
04   11   02 06   00	2002	0	3.44	16.87
05   11   02 06   00	2002	1.85	2.84	15.52
06   11   02 06   00	2002	0	3.38	14.44
07   11   02 06   00	2002	0	3.6	14.34
08   11   02 06   00	2002	0	3.47	13.31
09   11   02 06   00	2002	0.07	2.78	12
10   11   02 06   00	2002	0	3.72	11.07
11   11   02 06   00	2002	0	2.9	10.43
12   11   02 06   00	2002	0.1	3.76	9.74
13   11   02 06   00	2002	0	3.74	9.06
14   11   02 06   00	2002	0.11	3.12	8.44
15   11   02 06   00	2002	0	3.17	7.74
16   11   02 06   00	2002	0	3.5	7.22
17   11   02 06   00	2002	0.07	3.44	6.7
18   11   02 06   00	2002	0.03	3.32	6.36
19   11   02 06   00	2002	0	3.21	5.98
20   11   02 06   00	2002	0	2.79	5.68
21   11   02 06   00	2002	0.73	3.07	5.34
22   11   02 06   00	2002	0.15	2.77	4.99
23   11   02 06   00	2002	0	2.61	4.74
24   11   02 06   00	2002	0	3.4	4.56
25   11   02 06   00	2002	0	2.55	4.37
26   11   02 06   00	2002	0	2.52	4.18
27   11   02 06   00	2002	0	2.43	4
28   11   02 06   00	2002	0	2.18	3.82
29   11   02 06   00	2002	0	2.55	3.64
30   11   02 06   00	2002	0	2.95	3.46
01   12   02 06   00	2002	0	2.4	3.34
02   12   02 06   00	2002	0	2.37	3.2
03   12   02 06   00	2002	0	2.31	3.06
04   12   02 06   00	2002	0	1.96	2.92
05   12   02 06   00	2002	0	2.03	2.81
06   12   02 06   00	2002	0	2.08	2.79
07   12   02 06   00	2002	0	1.62	2.78
08   12   02 06   00	2002	0	2.01	2.69
09   12   02 06   00	2002	0	2.56	2.56
10   12   02 06   00	2002	0	2.73	2.48
11   12   02 06   00	2002	0	3.79	2.41
12   12   02 06   00	2002	0	4.05	2.33
13   12   02 06   00	2002	0	3.63	2.26
14   12   02 06   00	2002	0	3.13	2.19
15   12   02 06   00	2002	0	3.45	2.18
16   12   02 06   00	2002	0	4.23	2.12
17   12   02 06   00	2002	0	3.3	2.03
18   12   02 06   00	2002	0	3.13	1.91
19   12   02 06   00	2002	0	2.59	1.85
20   12   02 06   00	2002	0	2.91	1.83
02   05   03 06   00	2003	0.42	4.5	2.11
03   05   03 06   00	2003	1.04	3.93	1.65
04   05   03 06   00	2003	0	4.38	1.33
05   05   03 06   00	2003	0	4.6	1.1
06   05   03 06   00	2003	0.14	5.06	0.95
07   05   03 06   00	2003	10.09	5.33	0.83
08   05   03 06   00	2003	1.3	3.32	0.77
09   05   03 06   00	2003	0.46	4.95	0.76
10   05   03 06   00	2003	1.63	3.25	0.76
11   05   03 06   00	2003	0.18	4.88	0.73
12   05   03 06   00	2003	5.64	4.35	0.19
13   05   03 06   00	2003	0.67	4.27	0
14   05   03 06   00	2003	0.03	4.41	0
15   05   03 06   00	2003	1.38	5.01	0
16   05   03 06   00	2003	0.98	5.19	0
17   05   03 06   00	2003	2.95	4.23	0
18   05   03 06   00	2003	1.46	1.93	0
19   05   03 06   00	2003	0	5.02	0
20   05   03 06   00	2003	2.26	4.8	0
21   05   03 06   00	2003	13.01	4.16	0
22   05   03 06   00	2003	1.05	3.89	0
23   05   03 06   00	2003	0.14	3.86	0
24   05   03 06   00	2003	1.77	4.14	0
