Station Name latitude (dd) longitude (dd) elevation (m) Abbreviated name Regional ID number (cieh) National ID Rivier name Basin Area(km2)
BETEROU 9.199 2.267 272.7 BETE 1114500105  Ouémé 10400
        
missing value code Reliability code for computation of daily average from 24 hourly data     
-9999 F full hourly series, P computed on more than 80% of hourly data, N no sense (gaps)     
        
parameter code parameter name unit elevation from ground(m) manufacturer device model serial number calibration quality check
RUNOFF runoff m3/s  OTT MESSTECHNIK GMBH & CO  THALIMEDES level gauge   checked data
        
local time UTC time year dd hhmn RUNOFF Lower boundary of uncertainty interval Upper boundary of uncertainty interval Reliability
25/04/2005 07:00 25/04/2005 06:00 2005 115 0600 1.11 0.79 1.55
26/04/2005 07:00 26/04/2005 06:00 2005 116 0600 1.11 0.79 1.55
27/04/2005 07:00 27/04/2005 06:00 2005 117 0600 1.11 0.79 1.55
28/04/2005 07:00 28/04/2005 06:00 2005 118 0600 1.11 0.79 1.55
29/04/2005 07:00 29/04/2005 06:00 2005 119 0600 1.10 0.79 1.54
30/04/2005 07:00 30/04/2005 06:00 2005 120 0600 1.09 0.78 1.52
01/05/2005 07:00 01/05/2005 06:00 2005 121 0600 1.08 0.77 1.51
02/05/2005 07:00 02/05/2005 06:00 2005 122 0600 1.07 0.76 1.50
03/05/2005 07:00 03/05/2005 06:00 2005 123 0600 1.06 0.76 1.48
04/05/2005 07:00 04/05/2005 06:00 2005 124 0600 1.05 0.75 1.47
05/05/2005 07:00 05/05/2005 06:00 2005 125 0600 1.04 0.74 1.46
06/05/2005 07:00 06/05/2005 06:00 2005 126 0600 1.03 0.73 1.44
07/05/2005 07:00 07/05/2005 06:00 2005 127 0600 1.02 0.73 1.43
08/05/2005 07:00 08/05/2005 06:00 2005 128 0600 1.01 0.72 1.42
09/05/2005 07:00 09/05/2005 06:00 2005 129 0600 1.00 0.71 1.40
10/05/2005 07:00 10/05/2005 06:00 2005 130 0600 0.99 0.70 1.39
11/05/2005 07:00 11/05/2005 06:00 2005 131 0600 0.98 0.70 1.38
12/05/2005 07:00 12/05/2005 06:00 2005 132 0600 0.97 0.69 1.36
13/05/2005 07:00 13/05/2005 06:00 2005 133 0600 0.96 0.68 1.35
14/05/2005 07:00 14/05/2005 06:00 2005 134 0600 0.95 0.67 1.34
15/05/2005 07:00 15/05/2005 06:00 2005 135 0600 0.94 0.67 1.32
16/05/2005 07:00 16/05/2005 06:00 2005 136 0600 0.93 0.66 1.31
17/05/2005 07:00 17/05/2005 06:00 2005 137 0600 0.92 0.65 1.30
18/05/2005 07:00 18/05/2005 06:00 2005 138 0600 0.91 0.64 1.28
19/05/2005 07:00 19/05/2005 06:00 2005 139 0600 0.90 0.64 1.27
20/05/2005 07:00 20/05/2005 06:00 2005 140 0600 0.89 0.63 1.26
21/05/2005 07:00 21/05/2005 06:00 2005 141 0600 0.88 0.62 1.24
22/05/2005 07:00 22/05/2005 06:00 2005 142 0600 0.87 0.61 1.23
23/05/2005 07:00 23/05/2005 06:00 2005 143 0600 0.86 0.61 1.22
24/05/2005 07:00 24/05/2005 06:00 2005 144 0600 0.85 0.60 1.20
25/05/2005 07:00 25/05/2005 06:00 2005 145 0600 0.84 0.59 1.20
26/05/2005 07:00 26/05/2005 06:00 2005 146 0600 0.84 0.59 1.20
27/05/2005 07:00 27/05/2005 06:00 2005 147 0600 0.84 0.59 1.20
28/05/2005 07:00 28/05/2005 06:00 2005 148 0600 0.84 0.59 1.20
29/05/2005 07:00 29/05/2005 06:00 2005 149 0600 0.84 0.59 1.20
30/05/2005 07:00 30/05/2005 06:00 2005 150 0600 0.84 0.59 1.20
31/05/2005 07:00 31/05/2005 06:00 2005 151 0600 0.84 0.59 1.20
01/06/2005 07:00 01/06/2005 06:00 2005 152 0600 0.84 0.59 1.20
02/06/2005 07:00 02/06/2005 06:00 2005 153 0600 0.84 0.59 1.20
03/06/2005 07:00 03/06/2005 06:00 2005 154 0600 0.84 0.59 1.20
04/06/2005 07:00 04/06/2005 06:00 2005 155 0600 0.84 0.59 1.20
05/06/2005 07:00 05/06/2005 06:00 2005 156 0600 0.84 0.59 1.20
06/06/2005 07:00 06/06/2005 06:00 2005 157 0600 0.84 0.59 1.20
07/06/2005 07:00 07/06/2005 06:00 2005 158 0600 0.84 0.59 1.20
08/06/2005 07:00 08/06/2005 06:00 2005 159 0600 0.84 0.59 1.20
09/06/2005 07:00 09/06/2005 06:00 2005 160 0600 0.84 0.59 1.20
10/06/2005 07:00 10/06/2005 06:00 2005 161 0600 0.84 0.59 1.20
11/06/2005 07:00 11/06/2005 06:00 2005 162 0600 0.84 0.59 1.20
12/06/2005 07:00 12/06/2005 06:00 2005 163 0600 0.84 0.59 1.20
13/06/2005 07:00 13/06/2005 06:00 2005 164 0600 0.84 0.59 1.20
14/06/2005 07:00 14/06/2005 06:00 2005 165 0600 0.84 0.59 1.20
15/06/2005 07:00 15/06/2005 06:00 2005 166 0600 0.84 0.59 1.20
16/06/2005 07:00 16/06/2005 06:00 2005 167 0600 0.84 0.59 1.20
17/06/2005 07:00 17/06/2005 06:00 2005 168 0600 0.84 0.59 1.20
